predictor_vars,mediator_vars,outcome_vars,a_est,a_stdest,a_pvalue,b_est,b_stdest,b_pvalue,indirect_est,indirect_stdest,indirect_pvalue,total_est,total_stdest,total_pvalue
ace,rs,pss,0.4663984610387113,0.20625331844737427,1.8761936445454985e-4,0.941850610460385,0.5274581880480899,0,0.4392776752470943,0.1087900016271577,4.046902499272864e-4,0.8388883378730274,0.20775620702981298,1.67506134170603e-4
ace,rs,negaff,0.44879667545480534,0.1995392558147228,3.149775275830269e-4,0.09310538636111478,0.4612340051000186,0,0.041785387865803485,0.09203429013410176,7.995353669987271e-4,0.08458052649392689,0.18629260400877376,7.948648556850291e-4
msss_us,rs,pss,-0.3408534206671085,-0.15197229954093922,0.012151257050779574,0.9355136159585573,0.5270313449698997,0,-0.3188730160801299,-0.08009416542522967,0.014913067260134305,-0.6625907817204317,-0.16642880709295443,0.005909462599505977
ace,rs,srh,0.46703105102772624,0.20665136940698442,1.864557409732015e-4,0.05222563545947147,0.17794785671568847,0.0014790225107250698,0.024390993419227847,0.03677316827333487,0.01546919821574333,0.11622262387790255,0.1752234536565226,0.0016397915834844845
msss_us,rs,negaff,-0.3414037272472421,-0.15225384472526354,0.011829325865784002,0.0916919154804499,0.46129687121692986,0,-0.031303961703464694,-0.07023422220251234,0.01588889706796759,-0.03774614695675339,-0.08468804356976595,0.16489257465908658
msss_comm,erq,posaff,0.6722759586687723,0.17674342717235053,0.0033440358536163117,0.024338882485189034,0.24871922926330325,2.528095763776328e-5,0.016362445555657048,0.043959488983661796,0.016055492309106745,0.07281094223603884,0.19561451264897162,0.0011167371749050137
msss_us,erqs,posaff,-0.7512321599046072,-0.2215795353394201,2.048699682837274e-4,-0.022604794685908012,-0.17613402806813858,0.004118825073128329,0.016981448736094862,0.03902769609679852,0.023196670397837238,0.05061114893609021,0.11631731605967627,0.05566743251713424
msss_comm,erq,pss,0.6717951412751805,0.17691162944850383,0.003372403621619835,-0.16621155242854385,-0.18538415603983907,0.002193838140226223,-0.11166011334530068,-0.03279661311894362,0.03419516157962654,-0.5118374183862049,-0.15033599096124972,0.013134843218951309
ace,rs,posaff,0.4487966850314436,0.1995392594497837,3.1497744473107936e-4,-0.02818233713458904,-0.1427287292542072,0.011846350620139168,-0.012648139482442113,-0.028479984937593187,0.0390990932275288,-0.05217861724579684,-0.11749129073786962,0.03633752217403452
msss_comm,erq,negaff,0.6722759614662378,0.17674342803504353,0.0033440356943277294,-0.017413481821292685,-0.17371832543932184,0.0042034822113412584,-0.011706665233884393,-0.03070357235065305,0.04046557764842684,-0.05130696986128348,-0.13456498753112375,0.026487251259187605
