predictor_vars,mediator_vars,outcome_vars,moderator_vars,a_est,a_stdest,a_pvalue,b_est,b_stdest,b_pvalue,indirect_est,indirect_stdest,indirect_pvalue,total_est,total_stdest,total_pvalue
ace,erq,posaff,twn,0.09201106914414478,0.23532363065953832,0.00909570260301984,0.022772075010494438,0.2351744543529136,1.631457232709188e-5,0.002095282968346255,0.055342106436703495,0.02564177009335733,0.007711561639507632,0.20368325972871876,0.022651801629429258
ace,erq,pss,twn,0.08993030078477372,0.22879611036951783,0.011281669075185574,-0.14935411987032007,-0.16933866824345617,0.0021918481407339208,-0.013431460923383034,-0.03874402862925696,0.05089401180797948,-0.03833748589819446,-0.11058727413840105,0.2165760703771613
ace,erq,negaff,twn,0.09201106828751476,0.23532362905018434,0.009095703152742773,-0.014912655115940558,-0.14927167859467796,0.00801400494070581,-0.0013721293282209631,-0.035127153121312336,0.06295997524933217,3.3838332737731324e-4,0.008662771584288957,0.9238050146777639
income_numeric,rs,negaff,twn,-0.012267316782205884,-0.22292633089075697,0.12897176508055663,0.09480833040661456,0.49806557501910925,0,-0.001163043822689983,-0.11103193118200509,0.13434208060049024,-0.0022029337636812465,-0.21030677028304057,0.15478484511047474
income_numeric,rs,pss,twn,-0.012052219303977093,-0.2178827140781959,0.13818414323058303,0.9727861694813645,0.5462325076411352,0,-0.011724232250465233,-0.11901462128258941,0.14208405852537664,-0.00883557276921693,-0.0896913609760149,0.5382718232418966
msss_us,erqs,posaff,twn,0.04282609246806664,0.4968518077313425,0.08851031909732954,-0.020856470053615572,-0.1625112745139743,0.007570317895748024,-8.932011150736032e-4,-0.08074402051899258,0.1509768490487322,-0.004963894959606091,-0.4487285446789105,0.12679125111210277
income_numeric,rs,srh,twn,-0.012378270420006722,-0.22316087666987897,0.12851707047430572,0.07522798611886904,0.2629766054829137,1.6977883765312285e-5,-9.311923553318729e-4,-0.058686089823235914,0.1518213250928484,8.378205778014212e-4,0.05280156500757164,0.721094014900383
ace,erq,posaff,shanahan_binary,0.8269655058667729,0.16588000873412254,0.13593139920101294,0.02515308319770393,0.2597638792530228,1.2199634065179765e-6,0.020800732170698253,0.043089634559300975,0.1540604952972635,0.06477262612400674,0.13417935321821847,0.21801339749655568
income_numeric,erq,posaff,twn,0.02327200954899148,0.21804366240248496,0.13554492315652733,0.02492356038072448,0.25056542937609083,4.589099947360786e-5,5.800213351750858e-4,0.05463420389261404,0.16104763762771124,0.0011127307635725786,0.10481193660963745,0.4747763082989378
income_numeric,erqs,posaff,shanahan_binary,-0.29262298141769155,-0.27442546437713855,0.13795369391707113,-0.02817906883413732,-0.22076347005787303,3.3208320964073224e-4,0.008245843135819617,0.06058311778814033,0.1703894565323667,-0.03795794031901091,-0.27888116854326545,0.13064743431547732
income_numeric,rs,posaff,twn,-0.012267312661912064,-0.22292625735852747,0.12897189130953102,-0.03396914816566749,-0.17364632232126986,0.004863821665807233,4.167101614070598e-4,0.03871032473915322,0.18144276269822202,0.001187056008591589,0.11027166561281979,0.45003788598662253
ace,erqs,posaff,twn,0.03828723064773421,0.13014013768253982,0.15439256759112308,-0.02448828287414618,-0.19028914778635475,4.6822452902905987e-4,-9.375885345693944e-4,-0.024764255892409374,0.18714698278705266,0.007711561328595163,0.2036832480668571,0.022651809801190526
ace,erq,negaff,shanahan_binary,0.8269654544164894,0.1658799995046577,0.13593142133745983,-0.015146324347091867,-0.151610639458189,0.006270781702500505,-0.012525486996432363,-0.02514917279822523,0.1905359865804055,0.008321166954570663,0.01670757118529489,0.8794060115462798
ace,erq,pss,shanahan_binary,0.7696125223904319,0.15387173836599924,0.16748076801210687,-0.16336286615168935,-0.18522187294147918,7.05119399895926e-4,-0.12572610748393215,-0.028500411572911638,0.20114465961514028,-0.11162658695737408,-0.025304240578442758,0.8174443659504345
income_numeric,erq,negaff,twn,0.023272005302314297,0.21804362568284985,0.13554498806273751,-0.015262503771746925,-0.15609831967934512,0.0139459089161178,-3.551890687026864e-4,-0.03403624358588496,0.2019965324201698,-0.002145873494295389,-0.20562984447437632,0.16588281868996435
